zone,total_natural_objects,stones,weeds,twigs,grass,trees,bushes,resource_clumps,clump_tiles_footprint,extent_w_tiles,extent_h_tiles,area_tiles,min_x,max_x,min_y,max_y,min_px_x,max_px_x,min_px_y,max_px_y,clump_type_breakdown
Farm,1589,320,533,156,406,130,5,39,156,75,56,4200,3,77,6,61,48,1247,96,991,stone clump x19; twig clump x6; weed/garbage clump x14
Forest,452,3,113,40,13,55,227,1,4,119,95,11305,1,119,5,99,16,1919,80,1599,twig clump x1
IslandWest,340,62,110,51,0,27,73,17,68,90,83,7470,15,104,3,85,240,1679,48,1375,stone clump x9; twig clump x3; weed/garbage clump x5
Town,270,1,91,1,0,17,156,4,16,127,94,11938,0,126,8,101,0,2031,128,1631,stone clump x2; twig clump x1; weed/garbage clump x1
BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,176,863,96,847,
Mountain,109,49,0,0,0,13,47,0,0,125,33,4125,3,127,5,37,48,2047,80,607,
Railroad,97,29,45,3,0,6,14,0,0,65,36,2340,2,66,22,57,32,1071,352,927,
Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,48,895,64,495,stone clump x6
IslandNorth,51,10,1,0,0,10,30,0,0,62,67,4154,0,61,18,84,0,991,288,1359,
Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,176,799,128,543,
BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,16,991,16,335,
IslandEast,15,0,1,0,0,0,14,0,0,18,16,288,11,28,28,43,176,463,448,703,
Desert,11,0,0,0,0,11,0,0,0,40,45,1800,1,40,8,52,16,655,128,847,
DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,288,607,352,975,
Caldera,2,0,0,0,0,0,2,0,0,20,3,60,9,28,34,36,144,463,544,591,
IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,496,511,80,95,
CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,32,47,64,79,
IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,336,447,400,559,
