folder,piece,location,total_natural,stones,weeds,twigs,grass,trees,bushes,clumps,clump_tiles,extent_w,extent_h,area_tiles,min_x,max_x,min_y,max_y,clump_breakdown
01Farm,Farm01,Farm,1617,324,537,159,419,134,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm02,Farm,1607,322,537,156,413,135,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm03,Farm,1610,317,541,152,423,133,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm04,Farm,1603,320,548,153,410,128,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm05,Farm,1611,317,542,159,420,129,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm06,Farm,1607,318,542,162,414,127,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm07,Farm,1589,320,533,156,406,130,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm08,Farm,1691,324,565,158,453,147,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm09,Farm,1610,312,548,166,412,128,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm10,Farm,1599,311,558,160,402,124,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm11,Farm,1605,321,538,156,418,128,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm12,Farm,1606,326,538,158,411,129,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm13,Farm,1601,318,539,155,416,129,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm14,Farm,1602,314,546,160,412,126,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm15,Farm,1608,313,547,159,419,126,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm16,Farm,1611,315,543,160,414,135,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm17,Farm,1603,325,540,156,407,131,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm18,Farm,1585,308,542,163,402,126,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
